REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,A (2009 H1N1),A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v
Census Regions,New England,2016,20,18,3,4,0,3,0,1,0
Census Regions,Mid-Atlantic,2016,20,58,3,4,0,4,2,14,0
Census Regions,East North Central,2016,20,79,6,1,0,1,1,7,0
Census Regions,West North Central,2016,20,83,2,0,1,0,1,3,0
Census Regions,South Atlantic,2016,20,188,4,29,2,9,6,7,0
Census Regions,East South Central,2016,20,24,2,3,0,3,0,0,0
Census Regions,West South Central,2016,20,52,2,11,0,7,1,2,0
Census Regions,Mountain,2016,20,49,2,3,0,1,2,7,0
Census Regions,Pacific,2016,20,265,11,22,1,16,1,9,0
Census Regions,New England,2016,21,15,2,1,0,1,0,0,0
Census Regions,Mid-Atlantic,2016,21,51,0,6,0,4,6,9,0
Census Regions,East North Central,2016,21,60,1,1,0,0,2,1,0
Census Regions,West North Central,2016,21,64,2,1,1,0,4,1,0
Census Regions,South Atlantic,2016,21,112,0,17,1,12,5,3,0
Census Regions,East South Central,2016,21,16,0,0,0,3,0,0,0
Census Regions,West South Central,2016,21,44,0,5,0,7,1,1,0
Census Regions,Mountain,2016,21,51,1,4,0,0,1,9,0
Census Regions,Pacific,2016,21,226,10,9,0,3,3,8,0
Census Regions,New England,2016,22,4,1,0,0,0,0,0,0
Census Regions,Mid-Atlantic,2016,22,46,1,3,0,4,5,11,0
Census Regions,East North Central,2016,22,38,0,0,0,0,2,0,0
Census Regions,West North Central,2016,22,35,0,2,0,1,0,0,0
Census Regions,South Atlantic,2016,22,112,0,3,1,13,3,8,0
Census Regions,East South Central,2016,22,11,1,0,0,1,0,0,0
Census Regions,West South Central,2016,22,19,1,0,0,2,0,2,0
Census Regions,Mountain,2016,22,32,0,0,0,0,1,4,0
Census Regions,Pacific,2016,22,185,0,5,0,3,3,10,0
Census Regions,New England,2016,23,2,0,0,0,0,0,0,0
Census Regions,Mid-Atlantic,2016,23,36,0,3,0,0,1,11,0
Census Regions,East North Central,2016,23,39,0,0,1,0,2,0,0
Census Regions,West North Central,2016,23,49,0,0,0,0,1,0,0
Census Regions,South Atlantic,2016,23,81,0,1,0,8,1,1,0
Census Regions,East South Central,2016,23,5,0,0,0,0,0,0,0
Census Regions,West South Central,2016,23,16,0,1,0,4,0,0,0
Census Regions,Mountain,2016,23,38,0,2,0,0,0,2,0
Census Regions,Pacific,2016,23,198,5,8,0,2,1,3,0
Census Regions,New England,2016,24,0,0,0,0,0,0,0,0
Census Regions,Mid-Atlantic,2016,24,38,1,5,0,1,4,5,0
Census Regions,East North Central,2016,24,29,0,0,0,0,0,1,0
Census Regions,West North Central,2016,24,40,0,0,0,0,1,1,0
Census Regions,South Atlantic,2016,24,84,0,4,0,3,0,0,0
Census Regions,East South Central,2016,24,3,0,0,0,0,0,0,0
Census Regions,West South Central,2016,24,23,0,1,0,2,0,0,0
Census Regions,Mountain,2016,24,24,0,1,0,0,0,0,0
Census Regions,Pacific,2016,24,183,6,7,0,0,1,3,0
Census Regions,New England,2016,25,0,0,0,0,0,0,0,0
Census Regions,Mid-Atlantic,2016,25,43,0,10,0,0,4,5,0
Census Regions,East North Central,2016,25,31,2,0,0,0,1,1,0
Census Regions,West North Central,2016,25,31,1,1,0,0,0,0,0
Census Regions,South Atlantic,2016,25,61,1,0,0,8,2,0,0
Census Regions,East South Central,2016,25,4,0,0,0,0,0,0,0
Census Regions,West South Central,2016,25,15,0,2,0,1,0,1,0
Census Regions,Mountain,2016,25,16,0,1,0,0,1,2,0
Census Regions,Pacific,2016,25,119,1,8,0,1,1,2,0
Census Regions,New England,2016,26,10,1,0,0,0,0,0,0
Census Regions,Mid-Atlantic,2016,26,30,0,4,0,0,5,8,0
Census Regions,East North Central,2016,26,23,0,0,1,0,1,0,0
Census Regions,West North Central,2016,26,29,0,1,0,0,0,0,0
Census Regions,South Atlantic,2016,26,64,1,0,1,4,0,0,0
Census Regions,East South Central,2016,26,6,0,0,0,0,0,0,0
Census Regions,West South Central,2016,26,20,0,1,0,0,0,0,0
Census Regions,Mountain,2016,26,14,0,2,1,0,0,0,0
Census Regions,Pacific,2016,26,129,1,10,0,0,0,1,0
Census Regions,New England,2016,27,3,0,0,0,0,0,0,0
Census Regions,Mid-Atlantic,2016,27,25,2,3,0,0,4,7,0
Census Regions,East North Central,2016,27,17,0,1,0,0,0,0,0
Census Regions,West North Central,2016,27,31,0,1,0,0,0,0,0
Census Regions,South Atlantic,2016,27,29,0,3,0,4,0,0,0
Census Regions,East South Central,2016,27,2,0,0,0,0,0,0,0
Census Regions,West South Central,2016,27,21,0,0,0,1,0,0,0
Census Regions,Mountain,2016,27,18,0,1,0,0,0,0,0
Census Regions,Pacific,2016,27,125,0,9,0,0,1,2,0
Census Regions,New England,2016,28,0,0,0,0,0,0,0,0
Census Regions,Mid-Atlantic,2016,28,27,0,5,0,0,0,6,0
Census Regions,East North Central,2016,28,27,0,2,0,0,0,1,0
Census Regions,West North Central,2016,28,37,0,3,0,0,0,0,0
Census Regions,South Atlantic,2016,28,44,1,3,0,2,2,0,0
Census Regions,East South Central,2016,28,4,0,0,0,0,0,0,0
Census Regions,West South Central,2016,28,15,0,0,0,0,0,0,0
Census Regions,Mountain,2016,28,36,0,2,0,1,0,0,0
Census Regions,Pacific,2016,28,101,0,6,1,0,0,4,0
Census Regions,New England,2016,29,0,0,0,0,0,0,0,0
Census Regions,Mid-Atlantic,2016,29,35,0,10,0,1,0,6,0
Census Regions,East North Central,2016,29,31,1,0,0,0,0,0,0
Census Regions,West North Central,2016,29,33,0,1,0,0,0,0,0
Census Regions,South Atlantic,2016,29,38,1,0,0,2,0,0,0
Census Regions,East South Central,2016,29,9,0,0,0,0,0,0,0
