REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,PERCENT POSITIVE,A (2009 H1N1),A (H1),A (H3),A (Subtyping not Performed),A (Unable to Subtype),B,H3N2v
HHS Regions,Region 3,2014,3,1664,33.8942,507,0,8,48,0,1,0
HHS Regions,Region 4,2014,3,2754,20.1888,239,0,6,252,0,59,0
HHS Regions,Region 5,2014,3,1378,29.5356,334,0,17,56,0,0,0
HHS Regions,Region 6,2014,3,3157,22.5531,348,0,11,327,0,26,0
HHS Regions,Region 7,2014,3,684,25.8772,168,0,3,6,0,0,0
HHS Regions,Region 8,2014,3,2562,21.7408,409,0,7,133,0,8,0
HHS Regions,Region 9,2014,3,2103,36.5193,550,0,43,148,0,27,0
HHS Regions,Region 10,2014,3,897,31.3266,255,0,7,14,0,5,0
HHS Regions,Region 1,2014,4,771,35.4086,199,0,34,38,0,2,0
HHS Regions,Region 2,2014,4,1649,26.6222,221,0,6,203,0,9,0
HHS Regions,Region 3,2014,4,1681,34.6817,519,0,11,47,0,6,0
HHS Regions,Region 4,2014,4,2631,16.7997,161,0,2,210,0,69,0
HHS Regions,Region 5,2014,4,1337,30.5161,301,0,8,92,0,7,0
HHS Regions,Region 6,2014,4,2696,18.6573,253,0,11,200,0,39,0
HHS Regions,Region 7,2014,4,592,18.9189,106,0,3,3,0,0,0
HHS Regions,Region 8,2014,4,2175,15.2644,227,0,7,89,0,9,0
HHS Regions,Region 9,2014,4,2161,33.8732,503,0,38,149,0,42,0
HHS Regions,Region 10,2014,4,775,22.9677,153,0,12,11,0,2,0
HHS Regions,Region 1,2014,5,750,32.2667,182,0,14,42,0,4,0
HHS Regions,Region 2,2014,5,1621,21.4682,207,0,10,118,0,13,0
HHS Regions,Region 3,2014,5,1548,29.522,402,0,10,38,0,7,0
HHS Regions,Region 4,2014,5,2432,16.653,111,0,4,225,0,65,0
HHS Regions,Region 5,2014,5,1037,26.7117,217,0,4,50,0,6,0
HHS Regions,Region 6,2014,5,2218,15.4193,182,0,10,118,0,32,0
HHS Regions,Region 7,2014,5,581,16.6954,93,0,1,2,0,1,0
HHS Regions,Region 8,2014,5,1885,12.8912,177,0,6,55,0,5,0
HHS Regions,Region 9,2014,5,1831,24.9044,266,0,29,121,0,40,0
HHS Regions,Region 10,2014,5,715,17.2028,108,0,6,7,0,2,0
HHS Regions,Region 1,2014,6,643,30.1711,134,0,28,30,0,2,0
HHS Regions,Region 2,2014,6,1411,22.8207,167,0,20,114,0,21,0
HHS Regions,Region 3,2014,6,1504,33.3112,417,0,15,59,0,10,0
